Word frequencies in bible.txt
word     frequency
++++++++++++++++++++++++++++++++++++++++++++++
in     12211
the     61680
beginning     105
god     4358
created     45
heaven     566
and     49862
earth     981
was     4319
without     419
form     24
void     24
darkness     162
upon     2690
face     404
of     33195
deep     65
spirit     502
moved     75
waters     278
said     3773
let     1474
there     2218
be     6931
light     268
saw     530
that     12561
it     5949
good     710
divided     68
from     3534
called     609
day     1701
he     9939
night     302
evening     59
morning     220
were     2698
first     434
a     7997
firmament     17
midst     363
divide     49
made     1335
which     4263
under     382
above     221
so     1615
second     160
gathered     259
together     479
unto     8808
one     1931
place     701
dry     70
land     1655
appear     54
gathering     11
seas     25
bring     714
forth     868
grass     60
herb     18
yielding     7
seed     275
fruit     207
tree     197
after     1153
his     8141
kind     45
whose     307
is     6879
itself     50
brought     824
third     173
lights     10
to     13031
them     6257
for     8820
signs     53
seasons     12
days     855
years     495
give     866
two     797
great     937
greater     77
rule     66
lesser     3
stars     51
also     1746
set     678
over     970
fourth     79
abundantly     32
moving     5
creature     29
hath     2221
life     436
fowl     31
may     1006
fly     25
open     119
whales     2
every     1208
living     145
moveth     8
their     3860
winged     2
blessed     302
saying     1382
fruitful     35
multiply     46
fill     49
fifth     59
cattle     151
creeping     29
thing     527
beast     179
creepeth     14
us     1417
make     1042
man     2537
our     1161
image     97
likeness     34
have     3842
dominion     61
fish     35
sea     396
air     39
all     5430
own     577
him     6388
male     46
female     24
replenish     2
subdue     8
behold     1273
i     8712
given     492
you     2587
bearing     22
shall     9733
meat     285
wherein     162
green     38
had     1932
very     254
sixth     46
thus     701
heavens     134
finished     42
host     172
on     1933
seventh     113
ended     21
work     412
rested     21
sanctified     62
because     1187
these     1208
are     2902
generations     118
when     2743
they     7141
lord     7538
plant     41
field     284
before     1752
grew     28
not     6423
caused     93
rain     101
till     162
ground     186
but     3902
went     1309
up     2290
mist     3
watered     11
whole     249
formed     32
dust     106
breathed     4
into     1944
nostrils     15
breath     42
became     103
soul     451
planted     39
garden     47
eastward     38
eden     19
put     881
whom     739
out     2684
grow     37
pleasant     56
sight     296
food     55
knowledge     172
evil     586
river     169
water     382
thence     133
parted     10
four     326
heads     107
name     906
pison     1
compasseth     5
havilah     7
where     390
gold     402
bdellium     2
onyx     11
stone     186
gihon     6
same     328
ethiopia     19
hiddekel     2
goeth     132
toward     344
east     157
assyria     70
euphrates     19
took     697
dress     9
keep     357
commanded     427
thou     5370
mayest     112
freely     17
eat     629
shalt     1589
eatest     3
thereof     886
surely     272
die     311
should     772
alone     104
will     3778
an     1678
help     123
meet     117
adam     30
see     577
what     962
would     439
call     190
whatsoever     152
gave     452
names     127
found     383
sleep     82
fall     248
slept     35
ribs     2
closed     11
flesh     414
instead     37
rib     5
taken     327
woman     344
her     1935
this     2697
now     1297
bone     19
my     4305
bones     92
she     940
therefore     1203
leave     109
father     949
mother     236
cleave     29
wife     392
both     353
naked     47
ashamed     120
serpent     37
more     674
subtil     3
than     476
any     893
yea     337
ye     3931
we     1810
trees     154
neither     864
touch     48
lest     239
doth     205
know     751
then     2113
your     1759
eyes     487
opened     131
as     3439
gods     254
knowing     51
desired     50
wise     247
did     911
husband     115
with     5860
knew     168
sewed     2
fig     40
leaves     19
themselves     403
aprons     2
heard     622
voice     499
walking     30
cool     2
hid     123
presence     111
amongst     2
art     487
thy     4512
afraid     189
myself     116
who     948
told     261
thee     3740
wast     66
hast     1044
eaten     104
whereof     70
shouldest     68
gavest     34
me     4034
done     541
beguiled     5
cursed     70
belly     49
go     1436
enmity     8
between     226
bruise     8
head     349
heel     6
greatly     87
sorrow     70
conception     3
children     1767
desire     110
hearkened     76
sake     140
thorns     50
thistles     3
sweat     3
bread     353
return     259
wifes     11
eve     4
coats     14
skins     24
clothed     73
become     133
hand     1410
take     845
live     242
ever     474
sent     626
whence     69
drove     12
placed     11
at     1522
cherubims     64
flaming     9
sword     417
turned     270
way     642
conceived     45
bare     183
cain     20
gotten     25
again     648
brother     366
abel     16
keeper     20
sheep     186
tiller     1
process     5
time     609
came     1956
pass     788
offering     710
firstlings     6
flock     111
fat     130
respect     33
wroth     47
countenance     52
fell     230
why     277
fallen     78
if     1568
doest     45
well     245
accepted     29
sin     427
lieth     59
door     175
talked     39
rose     127
against     1599
slew     171
am     868
brothers     36
blood     434
crieth     17
mouth     421
receive     171
tillest     1
henceforth     32
yield     30
strength     239
fugitive     2
vagabond     3
punishment     27
can     235
bear     213
driven     49
come     1919
findeth     27
slay     114
whosoever     180
slayeth     5
vengeance     45
sevenfold     6
mark     37
finding     10
kill     122
dwelt     218
nod     1
enoch     12
builded     49
city     817
son     2223
born     158
irad     2
begat     225
mehujael     2
methusael     2
lamech     12
wives     131
adah     8
other     456
zillah     3
jabal     1
such     241
dwell     333
tents     60
jubal     1
handle     11
harp     30
organ     3
tubalcain     2
instructer     1
artificer     2
brass     119
iron     100
sister     108
naamah     5
hear     539
hearken     149
speech     49
slain     176
wounding     1
young     294
hurt     62
avenged     16
truly     42
seventy     58
seth     8
appointed     121
another     438
enos     7
began     145
men     1610
book     154
lived     57
hundred     582
thirty     169
begotten     24
eight     77
sons     1090
daughters     254
nine     45
died     189
five     335
seven     451
twelve     186
ninety     24
cainan     7
fifteen     22
mahalaleel     7
forty     152
ten     235
sixty     15
jared     6
methuselah     6
walked     108
three     469
eighty     3
noah     51
comfort     66
concerning     235
toil     4
hands     448
old     363
shem     17
ham     17
japheth     11
fair     53
chose     29
always     62
strive     22
yet     673
twenty     278
giants     13
those     457
mighty     280
renown     7
wickedness     126
imagination     14
thoughts     57
heart     816
only     248
continually     79
repented     32
grieved     40
destroy     255
fowls     55
repenteth     5
grace     170
just     94
perfect     98
corrupt     33
filled     153
violence     57
looked     137
corrupted     14
end     302
through     454
ark     230
gopher     1
wood     137
rooms     7
pitch     19
within     182
fashion     12
length     77
cubits     210
breadth     89
fifty     136
height     59
window     13
cubit     45
finish     11
side     438
lower     18
stories     5
even     1356
do     1335
flood     43
establish     44
covenant     280
sort     20
alive     83
gather     163
according     756
house     1890
seen     272
righteous     237
generation     105
clean     129
by     2563
sevens     2
beasts     156
cause     327
nights     18
substance     50
off     498
six     198
hundredth     3
year     323
noahs     2
month     241
seventeenth     5
fountains     15
broken     184
windows     28
selfsame     15
entered     105
bird     28
shut     97
increased     49
lift     102
prevailed     36
exceedingly     39
high     383
hills     65
covered     103
upward     59
prevail     29
mountains     177
destroyed     158
things     1149
remained     48
remembered     57
wind     122
asswaged     2
stopped     14
restrained     8
returned     173
abated     6
ararat     2
decreased     1
until     356
tenth     79
tops     10
raven     6
fro     24
dried     38
dove     18
no     1372
rest     250
sole     11
foot     94
pulled     7
stayed     28
lo     157
olive     37
leaf     11
pluckt     1
removed     83
covering     48
twentieth     32
spake     569
breed     2
kinds     10
altar     359
offered     140
burnt     347
offerings     262
smelled     2
sweet     108
savour     54
curse     100
mans     119
youth     70
smite     114
while     213
remaineth     37
seedtime     1
harvest     61
cold     18
heat     32
summer     27
winter     14
cease     70
fear     390
dread     9
fishes     27
delivered     277
liveth     85
lives     28
require     29
whoso     54
sheddeth     2
shed     50
therein     223
cut     310
token     14
perpetual     28
bow     91
cloud     107
remember     146
look     150
everlasting     97
established     74
canaan     91
overspread     1
husbandman     7
vineyard     69
drank     19
wine     230
drunken     33
uncovered     17
tent     96
nakedness     57
brethren     559
garment     85
laid     269
shoulders     20
backward     16
faces     73
fathers     655
awoke     8
younger     31
servant     459
servants     452
enlarge     10
gomer     6
magog     5
madai     2
javan     7
tubal     8
meshech     8
tiras     2
ashkenaz     1
riphath     2
togarmah     4
elishah     3
tarshish     24
kittim     2
dodanim     2
isles     27
gentiles     129
lands     44
tongue     129
families     174
nations     329
cush     7
mizraim     4
phut     2
seba     4
sabtah     1
raamah     5
sabtechah     1
sheba     32
dedan     11
nimrod     4
hunter     4
wherefore     339
kingdom     340
babel     2
erech     1
accad     1
calneh     2
shinar     7
asshur     8
nineveh     17
rehoboth     4
calah     2
resen     1
ludim     2
anamim     2
lehabim     2
naphtuhim     2
pathrusim     2
casluhim     2
philistim     1
caphtorim     1
sidon     14
heth     14
jebusite     14
amorite     14
girgasite     1
hivite     9
arkite     2
sinite     2
arvadite     2
zemarite     2
hamathite     2
afterward     66
canaanites     55
spread     107
abroad     79
border     157
comest     27
gerar     10
gaza     18
goest     46
sodom     48
gomorrah     19
admah     5
zeboim     5
lasha     1
tongues     36
countries     54
eber     13
elder     20
elam     28
arphaxad     10
lud     4
aram     10
uz     7
hul     2
gether     2
mash     1
salah     6
peleg     7
joktan     6
almodad     2
sheleph     2
hazarmaveth     2
jerah     2
hadoram     4
uzal     2
diklah     2
obal     1
abimael     2
ophir     13
jobab     9
dwelling     51
mesha     3
sephar     1
mount     257
language     24
journeyed     33
plain     73
brick     7
burn     135
thoroughly     2
slime     2
morter     11
build     163
tower     44
top     88
reach     15
scattered     70
down     1069
people     2084
begin     26
nothing     221
imagined     3
confound     5
understand     90
anothers     5
left     327
scatter     38
reu     5
serug     5
nahor     15
terah     11
nineteen     3
abram     54
haran     18
lot     111
nativity     7
ur     5
chaldees     6
abrams     7
sarai     16
nahors     2
milcah     11
daughter     308
iscah     1
barren     21
child     185
law     512
get     116
country     175
kindred     28
shew     226
nation     143
bless     127
blessing     66
curseth     10
departed     193
spoken     281
souls     79
passed     156
sichem     1
moreh     3
canaanite     14
appeared     69
mountain     134
bethel     56
pitched     81
having     193
west     69
hai     2
going     89
still     96
south     143
famine     92
egypt     597
sojourn     31
grievous     38
near     209
enter     146
egyptians     101
say     1040
save     225
pray     291
beheld     53
princes     273
pharaoh     221
commended     6
pharaohs     48
entreated     9
oxen     100
asses     61
menservants     9
maidservants     10
camels     52
plagued     6
plagues     24
didst     122
tell     210
saidst     22
might     459
away     880
rich     81
silver     299
journeys     9
been     329
flocks     80
herds     33
able     157
could     163
strife     39
herdmen     8
lots     26
perizzite     5
dwelled     6
separate     32
thyself     214
wilt     238
right     345
or     1109
depart     125
lifted     155
jordan     188
like     653
zoar     10
separated     33
cities     433
wicked     343
sinners     48
thine     917
northward     24
southward     24
westward     26
seest     36
number     178
numbered     127
arise     146
walk     210
mamre     10
hebron     73
built     160
amraphel     2
king     1953
arioch     7
ellasar     2
chedorlaomer     5
tidal     2
war     217
bera     1
birsha     1
shinab     1
shemeber     1
zeboiim     2
bela     13
joined     43
vale     9
siddim     3
salt     37
served     65
thirteenth     11
rebelled     28
fourteenth     24
kings     539
smote     206
rephaims     2
ashteroth     1
karnaim     1
zuzims     1
emins     1
shaveh     2
kiriathaim     4
horites     3
seir     39
elparan     1
wilderness     303
enmishpat     1
kadesh     17
amalekites     24
amorites     72
hazezontamar     1
battle     168
full     250
slimepits     1
fled     135
goods     42
victuals     17
escaped     56
hebrew     26
eshcol     6
aner     3
confederate     3
captive     54
armed     30
trained     1
eighteen     20
pursued     37
dan     71
himself     521
hobah     1
damascus     50
back     146
women     178
slaughter     56
valley     134
dale     2
melchizedek     2
salem     4
priest     472
most     135
possessor     2
enemies     266
tithes     24
persons     54
mine     635
thread     7
shoelatchet     1
portion     94
word     675
vision     79
shield     44
exceeding     58
reward     80
seeing     115
childless     7
steward     13
eliezer     15
heir     18
bowels     39
believed     116
counted     40
righteousness     306
inherit     62
whereby     39
heifer     19
goat     35
ram     97
turtledove     3
pigeon     2
each     49
piece     41
birds     26
carcases     22
sun     156
horror     4
surety     14
stranger     129
theirs     21
serve     206
